DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-02-05 09:33:27.023,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
133127,0.8055,0.3999,-0.2279,-0.3733,-0.1742,0.5112,1.0649,0
133293,0.8057,0.3986,-0.2272,-0.3748,-0.0086,0.4182,0.9998,0
133460,0.8071,0.3948,-0.2252,-0.3769,0.0925,-0.0539,0.2019,0
133627,0.8096,0.3879,-0.2227,-0.3801,-0.4351,0.3600,1.0816,0
133793,0.8127,0.3801,-0.2204,-0.3827,0.7907,0.5855,0.2054,0
133960,0.8154,0.3751,-0.2185,-0.3829,0.7755,0.5469,0.1080,0
134127,0.8178,0.3682,-0.2151,-0.3864,-0.5489,-0.4278,0.0965,0
134293,0.8199,0.3614,-0.2114,-0.3906,0.3856,-0.3357,-0.6940,0
134460,0.8223,0.3530,-0.2069,-0.3955,-0.1233,-0.2034,0.4624,0
134627,0.8263,0.3416,-0.2023,-0.3996,0.8333,-0.1414,0.3752,0
134793,0.8315,0.3236,-0.1953,-0.4070,-1.6868,0.2989,1.4073,0
134960,0.8364,0.2989,-0.1869,-0.4197,-1.0694,0.1122,1.0706,0
135127,0.8388,0.2786,-0.1793,-0.4321,-0.2511,-0.7318,-0.3519,0
135293,0.8396,0.2640,-0.1739,-0.4417,0.2849,0.0974,0.1868,0
135460,0.8405,0.2488,-0.1675,-0.4511,1.6390,1.3865,1.2644,0
135627,0.8429,0.2370,-0.1611,-0.4555,3.5699,0.9863,-0.5862,0
135793,0.8464,0.2328,-0.1549,-0.4532,-1.4347,-0.8543,-1.7601,0
135960,0.8494,0.2293,-0.1492,-0.4513,-2.2891,-2.4544,-1.3783,0
136127,0.8529,0.2258,-0.1465,-0.4474,-1.0809,0.0395,0.9796,0
136293,0.8558,0.2242,-0.1449,-0.4430,1.6913,1.3712,0.6588,0
136460,0.8608,0.2195,-0.1412,-0.4370,3.7403,1.0736,-0.4815,0
136627,0.8658,0.2144,-0.1330,-0.4321,-0.0961,0.0187,-2.0317,0
136793,0.8681,0.2096,-0.1232,-0.4328,-3.4239,-2.0698,-0.8894,0
136960,0.8687,0.1982,-0.1146,-0.4393,-2.1206,-1.1872,1.2267,0
137127,0.8694,0.1827,-0.1069,-0.4465,0.6929,1.4544,0.9163,0
137293,0.8704,0.1631,-0.0972,-0.4543,2.3449,0.4983,-0.3828,0
137460,0.8743,0.1501,-0.0869,-0.4533,5.3888,-0.2652,-3.3622,0
137627,0.8804,0.1468,-0.0742,-0.4448,0.4444,0.2149,-3.1482,0
137793,0.8839,0.1399,-0.0622,-0.4419,-3.4120,-2.5636,0.9553,0
137960,0.8876,0.1344,-0.0549,-0.4372,-1.5335,0.8401,2.3597,0
138127,0.8895,0.1177,-0.0451,-0.4391,-0.2439,1.2458,1.6220,0
138293,0.8909,0.0941,-0.0332,-0.4432,1.8341,0.5874,-0.2844,0
138460,0.8933,0.0723,-0.0196,-0.4432,2.9520,-0.4846,-2.8684,0
138627,0.8975,0.0618,-0.0069,-0.4367,-1.7827,0.3082,-0.9452,0
138793,0.8976,0.0463,0.0033,-0.4384,-3.9612,-1.7694,2.9475,0
138960,0.8956,0.0297,0.0105,-0.4437,-0.2370,1.5071,2.2534,0
139127,0.8922,-0.0011,0.0208,-0.4511,1.3427,1.4765,0.2650,0
139293,0.8895,-0.0346,0.0328,-0.4545,2.9195,0.0690,-2.9590,0
139460,0.8891,-0.0580,0.0468,-0.4516,1.1963,-1.1151,-3.1115,0
139627,0.8879,-0.0751,0.0595,-0.4500,-4.0918,-2.5511,1.5137,0
139793,0.8873,-0.0828,0.0665,-0.4489,-2.1390,-0.9367,1.3707,0
139960,0.8863,-0.0904,0.0715,-0.4485,0.5507,1.4015,0.1532,0
140127,0.8835,-0.1056,0.0794,-0.4495,0.7042,0.2367,-1.0285,0
140293,0.8801,-0.1214,0.0878,-0.4506,0.6033,-0.4140,-0.6420,0
140460,0.8777,-0.1325,0.0964,-0.4503,-1.1095,-1.5794,-0.6068,0
